T=10,T=100,T=1000,T=10000,T=100000,T=1000000,T=10000000,T=100000000,
6.21e-07,4.16e-06,4.01e-05,0.000623,0.00619,0.0731,0.848,9.53,
5.11e-07,3.18e-06,5.05e-05,0.000573,0.00671,0.0728,0.843,9.48,
5.41e-07,2.98e-06,5.08e-05,0.000561,0.00623,0.0734,0.842,9.58,
2.8e-07,4.15e-06,5.33e-05,0.000619,0.00665,0.075,0.854,9.61,
6.71e-07,4.1e-06,6.37e-05,0.000556,0.00621,0.0742,0.84,9.64,
7.02e-07,4.19e-06,4.05e-05,0.000517,0.00657,0.0723,0.85,9.58,
7.01e-07,3.36e-06,4.52e-05,0.00051,0.00626,0.0731,0.838,9.63,
6.61e-07,5.05e-06,5.18e-05,0.000514,0.00639,0.0742,0.841,9.46,
5.91e-07,3.44e-06,6.4e-05,0.000588,0.0064,0.0738,0.848,9.6,
4.21e-07,3.18e-06,4.85e-05,0.00062,0.00646,0.0734,0.839,9.71,
7.31e-07,3.38e-06,3.86e-05,0.000639,0.00699,0.0743,0.852,9.59,
6.71e-07,4.03e-06,5.09e-05,0.000564,0.00622,0.0745,0.844,9.52,
6.91e-07,3.67e-06,4.78e-05,0.000627,0.00625,0.0732,0.85,9.64,
5.21e-07,5.09e-06,4.01e-05,0.000624,0.0063,0.0747,0.845,9.6,
5.51e-07,4.95e-06,4.14e-05,0.000515,0.00623,0.0721,0.847,9.52,
3.5e-07,4.53e-06,3.92e-05,0.000632,0.00628,0.0745,0.843,9.52,
5.21e-07,3.35e-06,4.1e-05,0.000533,0.00631,0.0744,0.847,9.53,
6.91e-07,3.99e-06,4.08e-05,0.000517,0.00632,0.0736,0.847,9.48,
5.91e-07,4.13e-06,3.98e-05,0.000579,0.00639,0.074,0.839,9.5,
7.21e-07,3.31e-06,5.11e-05,0.000607,0.0064,0.0729,0.842,9.56,
3.1e-07,4.2e-06,4.22e-05,0.000588,0.00629,0.0732,0.838,9.5,
5.51e-07,3.02e-06,4.89e-05,0.000561,0.00641,0.0743,0.851,9.57,
2.6e-07,3.88e-06,5.14e-05,0.000612,0.00646,0.074,0.84,9.67,
6.41e-07,3.3e-06,5.03e-05,0.000595,0.00622,0.0734,0.839,9.54,
5.62e-07,3.62e-06,5.34e-05,0.000632,0.00709,0.0743,0.848,9.61,
6.22e-07,3.59e-06,4.15e-05,0.000666,0.00637,0.0737,0.835,9.69,
4.71e-07,3.25e-06,4.02e-05,0.000652,0.00627,0.0745,0.838,9.58,
7.72e-07,4.75e-06,5.18e-05,0.000583,0.00627,0.0734,0.84,9.53,
5.71e-07,3.38e-06,4.97e-05,0.000623,0.00661,0.0742,0.844,9.58,
7.01e-07,4.01e-06,4.1e-05,0.000729,0.0064,0.0733,0.849,9.63,
